id;org_master_id;org_name;partenaire;profile;launch_creation_date
1;Computer;PNG disintermediate Loan;SDD Adaptive;neural Checking blue;2022-02-22
2;Checking;Stravenue;Qatari;Automotive;2022-02-22
3;pink bus SSL;compress;Bike;feed;2022-02-22
4;Soap;optimizing Product;Intranet Function-based redundant;Borders Markets SMS;2022-02-21
5;teal Salvador task-force;driver calculating;asymmetric alarm;synthesize Investment Incredible;2022-02-22
6;Bedfordshire user-centric;optical Creative;deposit TCP;Administrator;2022-02-22
7;functionalities ADP paradigms;state interactive Assurance;Hong;invoice Concrete;2022-02-21
8;Wells Awesome Auto;Inverse;Customer-focused one-to-one modular;efficient Customer-focused;2022-02-22
9;Dynamic indexing;optimize;azure;Granite Frozen Jewelery;2022-02-21
10;task-force;Operative generation;Synergistic Cambridgeshire quantifying;Cliff bandwidth;2022-02-22
